UK Region,Skills,Cluster_Name,Demand,Supply,Gap_Score
Northern Ireland,data-analytics,Soft Skills & Business Development,4,0.9278,4.6051
Northern Ireland,sql,Game Development & Programming,4,0.9278,4.6051
Scotland,swift,Business Tools & Productivity,1,0.8817,4.5996
Scotland,direct-x,Game Development & Programming,1,0.8817,4.5996
Wales,github,Game Development & Programming,3,0.9343,4.5923
Wales,terraform,Game Development & Programming,1,0.9189,4.5809
Wales,ci-cd,Game Development & Programming,3,1.0195,4.5493
Scotland,3d-math,Game Development & Programming,3,1.1114,4.5029
Wales,css,"Cloud, Infrastructure & DevOps",1,1.0782,4.5005
Scotland,seo,Game Development & Programming,2,1.1114,4.4933
Scotland,postgresql,Game Development & Programming,2,1.1114,4.4933
Scotland,reaper,Soft Skills & Business Development,1,1.1114,4.4837
Scotland,shader-development,Project & Development Management,1,1.1114,4.4837
Scotland,software-development-lifecycle-sdlc,Project & Development Management,1,1.1114,4.4837
Wales,networking,Soft Skills & Creative Production,2,1.1438,4.477
Northern Ireland,ci-cd,Game Development & Programming,4,1.2325,4.4514
Northern Ireland,tableau,Game Development & Programming,2,1.3031,4.3967
Wales,html,Business Tools & Productivity,1,1.3012,4.388
Wales,node.js,"Cloud, Infrastructure & DevOps",1,1.3012,4.388
Wales,docker,Game Development & Programming,2,1.3968,4.3494
Scotland,adobe-premiere,Soft Skills & Business Development,3,1.4942,4.3098
Scotland,laravel,Game Development & Programming,1,1.4942,4.2906
Wales,typescript,Business Tools & Productivity,1,1.5071,4.2841
Northern Ireland,jenkins,Business Tools & Productivity,2,1.6076,4.243
Northern Ireland,3d-modeling,Soft Skills & Creative Production,1,1.6076,4.2334
Wales,kotlin,Game Development & Programming,1,1.6358,4.2192
Northern Ireland,terraform,Game Development & Programming,2,1.686,4.2035
Wales,react,Soft Skills & Business Development,2,1.7879,4.1521
Wales,azure,Soft Skills & Business Development,4,1.8748,4.1274
Scotland,davinci-resolve,Soft Skills & Business Development,3,1.9317,4.0891
Northern Ireland,mongodb,Game Development & Programming,2,1.9731,4.0587
Wales,front-end,Game Development & Programming,2,2.1934,3.9475
Wales,mongodb,Game Development & Programming,2,2.1934,3.9475
Wales,github-actions,Soft Skills & Business Development,1,2.1934,3.9379
Scotland,django,Business Tools & Productivity,2,2.2598,3.914
Scotland,cryptography,Game Development & Programming,1,2.2598,3.9044
Northern Ireland,mysql,Game Development & Programming,2,2.5474,3.7689
Scotland,multithreading,Soft Skills & Creative Production,4,2.588,3.7677
Wales,nosql,"Cloud, Infrastructure & DevOps",2,2.6395,3.7225
Northern Ireland,design-patterns,Project & Development Management,4,2.8576,3.6317
Wales,mysql,Game Development & Programming,2,2.8307,3.6261
Northern Ireland,java,Game Development & Programming,5,2.9782,3.5804
Northern Ireland,kotlin,Game Development & Programming,2,2.9782,3.5516
Wales,angular,Game Development & Programming,1,3.3086,3.3754
Northern Ireland,bash,Game Development & Programming,2,3.9833,3.0446
Wales,webpack,Game Development & Programming,1,3.9778,3.0378
Scotland,fullstack,Game Development & Programming,3,4.5567,2.765
Scotland,cryengine,Game Development & Programming,3,4.5567,2.765
Scotland,serverless-architecture,Soft Skills & Business Development,2,4.5567,2.7554
Scotland,final-cut-pro,Game Development & Programming,2,4.5567,2.7554
Scotland,bootstrap,Game Development & Programming,2,4.5567,2.7554
Scotland,photorealism,"Cloud, Infrastructure & DevOps",1,4.5567,2.7458
Scotland,next.js,"Cloud, Infrastructure & DevOps",1,4.5567,2.7458
Wales,back-end,Game Development & Programming,3,4.5954,2.7454
Wales,postgresql,Game Development & Programming,2,4.9815,2.5411
Wales,vue.js,"Cloud, Infrastructure & DevOps",1,4.9815,2.5315
Wales,flask,Game Development & Programming,1,4.9815,2.5315
Wales,django,Business Tools & Productivity,1,4.9815,2.5315
Wales,software-development-lifecycle-sdlc,Project & Development Management,1,4.9815,2.5315
Northern Ireland,internal-audit,Game Development & Programming,2,5.1319,2.4652
Northern Ireland,rabbitmq,Game Development & Programming,2,5.9934,2.0306
Northern Ireland,adobe-photoshop,Game Development & Programming,1,5.9934,2.0211
Northern Ireland,elasticsearch,Soft Skills & Business Development,2,7.1995,1.4222
Northern Ireland,microservices,Business Tools & Productivity,5,7.5011,1.2989
Wales,perl,Game Development & Programming,2,10.0,0.0096
Wales,jwt,Business Tools & Productivity,1,10.0,0.0
Wales,sass,"Cloud, Infrastructure & DevOps",1,10.0,0.0
Wales,oauth,Game Development & Programming,1,10.0,0.0
